Kovács Bence;Tokaj;abcd@mail.com;new
Hedering Géza;Székesfehérvár;3456@mail.com;accepted
Fekete István;Eger;8765@mail.com;rejected
Dániel Mátyás;Budapest;jkhgfd@mail.com;in progress
Kiss Emília Bettina;Warsaw;qwert@mail.com;accepted
Gajdos Hugó;Katovice;sdfg@mail.com;new
Klebovits Janka;Miskolc;hgfd@mail.com;accepted
Hankiss Klára;Krakow;lkjh@mail.com;in progress
Tücsök István;Warsaw;234@mail.com;accepted
Verrasztó Evelin;Tata;hjgfd@mail.com;new
Tőkés Pál;Budapest;sdfg@mail.com;rejected
Szász Enikő;Miskolc;sdfg@mail.com;accepted
Farkas György;Eger;nb@mail.com;new
Szakáll Csaba;Tokaj;klkjhgfdsdfgh@mail.com;accepted
Mihály Imre;Székesfehérvár;76543wudf@mail.com;in progress
Csobánka Levente;Krakow;abcd@mail.com;mnbhgfd@mail.com;rejected
Balogh Tibor;Eger;nbgf@mail.com;accepted
Komáromi József;Tokaj;hghtr@mail.com;in progress
Puskás Elemér;Tata;jhgzt@mail.com;in progress
