Kiss Jakab;codecool.depth+kjakab@gmail.com;Budapest
Karlov Igor;codecool.depth+kigor@gmail.com;Budapest
Szabó Melinda;codecool.depth+szmelinda@gmail.com;Budapest
Besenyei Judit;codecool.depth+bjudit@gmail.com;Budapest
Tantula Béla;codecool.depth+tbela@gmail.com;Miskolc
Gaál Mihály;codecool.depth+gmihaly@gmail.com;Miskolc
Jelenik Zsuzsanna;codecool.depth+jzsuzsa@gmail.com;Miskolc
Berze Kálvin;codecool.depth+bkalvin@gmail.com;Miskolc
Kende Martin;codecool.depth+kmartin@gmail.com;Krakow
Thököly Gáspár;codecool.depth+tgaspar@gmail.com;Krakow
Nagy Amália;codecool.depth+namalia@gmail.com;Krakow
Tóth Ervin;codecool.depth+tervin@gmail.com;Krakow
mentor;mentor;Budapest
